GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user_service,ru.yandex.workshop.service,UserServiceImpl,26,128,3,5,2,20,4,9,2,7
user_service,ru.yandex.workshop.model,User.UserBuilder,12,33,0,0,0,1,1,6,1,6
user_service,ru.yandex.workshop.model,User.UserBuilderImpl,0,7,0,0,0,1,0,2,0,2
user_service,ru.yandex.workshop.model,UserPatchDto.UserPatchDtoBuilder,13,23,0,0,0,1,2,4,2,4
user_service,ru.yandex.workshop.model,User,0,45,0,0,0,7,0,8,0,8
user_service,ru.yandex.workshop.model,UserOutDto,107,115,29,17,0,7,22,11,1,9
user_service,ru.yandex.workshop.model,UserPatchDto,0,25,0,0,0,4,0,5,0,5
user_service,ru.yandex.workshop.model,UserInDto,0,34,0,0,0,7,0,7,0,7
user_service,ru.yandex.workshop.model,UserOutDto.UserOutDtoBuilder,12,42,0,0,0,1,1,7,1,7
user_service,ru.yandex.workshop.model,UserInDto.UserInDtoBuilder,10,35,0,0,0,1,1,6,1,6
user_service,ru.yandex.workshop,WorkshopApplication,5,3,0,0,2,1,1,1,1,1
user_service,ru.yandex.workshop.exception,Error,21,0,0,0,4,0,4,0,4,0
user_service,ru.yandex.workshop.exception,ErrorResponse,9,0,0,0,2,0,2,0,2,0
user_service,ru.yandex.workshop.exception,ErrorHandler,191,7,2,0,31,2,13,2,12,2
user_service,ru.yandex.workshop.exception,ErrResponse,9,0,0,0,4,0,2,0,2,0
user_service,ru.yandex.workshop.exception.exception,BaseRelationshipException,0,4,0,0,0,2,0,1,0,1
user_service,ru.yandex.workshop.exception.exception,NoFoundObjectException,4,0,0,0,2,0,1,0,1,0
user_service,ru.yandex.workshop.controller,UserController,26,52,0,0,6,11,2,5,2,5
user_service,ru.yandex.workshop.model.mapper,PatchMapper,8,33,3,3,0,9,3,2,0,2
